"Priority","Capability to prove","Primary OSS service","Supporting services","Best proof workflow","Value unlocked"
"10.11","[postgres:roles-replication-maintenance] Roles, replication, and maintenance — Manage roles, grants, replicas, vacuum, analyze, and connection pressure.","PostgreSQL","PostgreSQL, Qdrant, SeaweedFS, Temporal, OpenBao, FleetDM","Verify PostgreSQL “Roles, replication, and maintenance” within: Failure or upgrade → safe drain/snapshot → supervised restart → restore → integrity verification","Keeps critical AI workflows available and recoverable on customer-owned infrastructure"
"10.12","[qdrant:snapshots-cluster] Snapshots, aliases, and cluster operations — Back up collections, move shards, manage aliases, and inspect consensus state.","Qdrant","PostgreSQL, Qdrant, SeaweedFS, Temporal, OpenBao, FleetDM","Verify Qdrant “Snapshots, aliases, and cluster operations” within: Failure or upgrade → safe drain/snapshot → supervised restart → restore → integrity verification","Keeps critical AI workflows available and recoverable on customer-owned infrastructure"
"10.13","[redis:failure-fallback] Cache failure fallback — Continue safely on an in-process cache when Redis is unavailable.","Redis","PostgreSQL, Qdrant, SeaweedFS, Temporal, OpenBao, FleetDM","Verify Redis “Cache failure fallback” within: Failure or upgrade → safe drain/snapshot → supervised restart → restore → integrity verification","Keeps critical AI workflows available and recoverable on customer-owned infrastructure"
"10.14","[seaweedfs:lifecycle-versioning] Lifecycle and versioning — Apply retention, versioning, expiry, and object-lock policies.","SeaweedFS","PostgreSQL, Qdrant, SeaweedFS, Temporal, OpenBao, FleetDM","Verify SeaweedFS “Lifecycle and versioning” within: Failure or upgrade → safe drain/snapshot → supervised restart → restore → integrity verification","Keeps critical AI workflows available and recoverable on customer-owned infrastructure"
"10.15","[seaweedfs:topology-repair] Volume topology, replication, and repair — Inspect masters, filers, volumes, replication placement, and repair state.","SeaweedFS","PostgreSQL, Qdrant, SeaweedFS, Temporal, OpenBao, FleetDM","Verify SeaweedFS “Volume topology, replication, and repair” within: Failure or upgrade → safe drain/snapshot → supervised restart → restore → integrity verification","Keeps critical AI workflows available and recoverable on customer-owned infrastructure"
"10.16","[warehouse:cluster-operations] Partitions, replicas, quotas, and maintenance — Operate partitions, replication, users, quotas, backups, and query pressure.","ClickHouse Warehouse","PostgreSQL, Qdrant, SeaweedFS, Temporal, OpenBao, FleetDM","Verify ClickHouse Warehouse “Partitions, replicas, quotas, and maintenance” within: Failure or upgrade → safe drain/snapshot → supervised restart → restore → integrity verification","Keeps critical AI workflows available and recoverable on customer-owned infrastructure"
"11","Governed analytics, dashboards and ROI evidence","Apache Superset","ClickHouse, PostgreSQL, Langfuse, Off Grid outcomes ledger","Operational events → governed metrics → role-specific dashboard → baseline/actual ROI review","Makes efficiency, effectiveness, top-line impact and justified ROI visible"
"11.01","[litellm:spend-analytics] Spend and cost analytics — Attribute request cost by key, model, deployment, team, and time window.","LiteLLM","ClickHouse, PostgreSQL, Langfuse, Off Grid outcomes ledger","Verify LiteLLM “Spend and cost analytics” within: Operational events → governed metrics → role-specific dashboard → baseline/actual ROI review","Makes efficiency, effectiveness, top-line impact and justified ROI visible"
"11.02","[superset:dashboard-provisioning] Governed dashboard provisioning — Idempotently create the Off Grid database, dataset, charts, and dashboard.","BI & Dashboards","ClickHouse, PostgreSQL, Langfuse, Off Grid outcomes ledger","Verify BI & Dashboards “Governed dashboard provisioning” within: Operational events → governed metrics → role-specific dashboard → baseline/actual ROI review","Makes efficiency, effectiveness, top-line impact and justified ROI visible"
"11.03","[superset:embedded-access] Scoped embedded dashboard access — Mint short-lived guest access only after verifying the owned dashboard exists.","BI & Dashboards","ClickHouse, PostgreSQL, Langfuse, Off Grid outcomes ledger","Verify BI & Dashboards “Scoped embedded dashboard access” within: Operational events → governed metrics → role-specific dashboard → baseline/actual ROI review","Makes efficiency, effectiveness, top-line impact and justified ROI visible"
"11.04","[superset:native-chart-readback] Native governed chart read-back — Run Superset chart queries and render the results inside the Off Grid visual system.","BI & Dashboards","ClickHouse, PostgreSQL, Langfuse, Off Grid outcomes ledger","Verify BI & Dashboards “Native governed chart read-back” within: Operational events → governed metrics → role-specific dashboard → baseline/actual ROI review","Makes efficiency, effectiveness, top-line impact and justified ROI visible"
"11.05","[superset:sql-authoring] Advanced SQL and chart authoring — Let authorized analysts explore governed data and publish additional visualizations.","BI & Dashboards","ClickHouse, PostgreSQL, Langfuse, Off Grid outcomes ledger","Verify BI & Dashboards “Advanced SQL and chart authoring” within: Operational events → governed metrics → role-specific dashboard → baseline/actual ROI review","Makes efficiency, effectiveness, top-line impact and justified ROI visible"
"12","Complete operator administration and controlled platform change","Off Grid Console","FleetDM, Unleash, Redis, service management adapters","Operator intent → validated CRUD/action → controlled rollout → health verification → audit evidence","Makes the full AI platform consumable by technical and non-technical operators"
"12.01","[console:tenant-management] Tenant-isolated management state — Create and manage product entities without crossing organization boundaries.","Off Grid Console","FleetDM, Unleash, Redis, service management adapters","Verify Console “Tenant-isolated management state” within: Operator intent → validated CRUD/action → controlled rollout → health verification → audit evidence","Makes the full AI platform consumable by technical and non-technical operators"
